"","clusterID_seq","window_type","watershed","year","catchment_km2","TO","Nhat","t","surveyPeriod","SWA","VA","NDVI","riparian_area_m2","dam_km","clusterID_unique","clusterID_num","stream","sampleEvent","year_id","damPresence","sampleEvent_new","logSWA","y","y_veg","dam_km_std"
"755",17,"dammed","LT",2023,255.91283,50.499723284107,6.96157110854996,8,"238",0,22528.487293767,0.282327651972165,18039.1998164151,10.237604571397,"2023.LT.17",162,4,12,3,1,12,0,0,1,2.31359955385049
"756",17,"undammed","LT",2023,266.50708,42.1539025865364,1.19264074011903,5,"235",23.9838314009648,23181.963591153,0.360992102087281,13849.3102746867,2.16843770930733,"2023.LT.17",162,4,9,3,1,9,3.2182288716777,1,1,-0.250569067352081
"757",17,"undammed","LT",2023,266.50708,42.1539025865364,1.19264074011903,6,"236",23.9838314009648,22218.3377742094,0.348125985424953,13849.3102746867,2.16843770930733,"2023.LT.17",162,4,10,3,1,10,3.2182288716777,1,1,-0.250569067352081
"758",17,"undammed","LT",2023,266.50708,42.1539025865364,1.19264074011903,7,"237",0,13714.1486610263,0.283745869054401,13849.3102746867,2.16843770930733,"2023.LT.17",162,4,11,3,1,11,0,0,1,-0.250569067352081
"759",17,"undammed","LT",2023,266.50708,42.1539025865364,1.19264074011903,8,"238",0,14574.0372724346,0.244295048055916,13849.3102746867,2.16843770930733,"2023.LT.17",162,4,12,3,1,12,0,0,1,-0.250569067352081
"760",18,"dammed","LT",2023,178.1908,51.3156317618954,1.17127330737437,5,"235",0,9196.5867870256,0.363896559590422,7629.89597756974,4.68509322949748,"2023.LT.18",172,4,9,3,1,9,0,0,1,0.549157747762591
"761",18,"dammed","LT",2023,178.1908,51.3156317618954,1.17127330737437,6,"236",0,9598.63232894598,0.346209326064984,7629.89597756974,4.68509322949748,"2023.LT.18",172,4,10,3,1,10,0,0,1,0.549157747762591
"762",18,"dammed","LT",2023,178.1908,51.3156317618954,1.17127330737437,7,"237",0,7278.27493166456,0.282421645381589,7629.89597756974,4.68509322949748,"2023.LT.18",172,4,11,3,1,11,0,0,1,0.549157747762591
"763",18,"dammed","LT",2023,178.1908,51.3156317618954,1.17127330737437,8,"238",0,6806.1231932397,0.254275075558315,7629.89597756974,4.68509322949748,"2023.LT.18",172,4,12,3,1,12,0,0,1,0.549157747762591
"764",18,"undammed","LT",2023,178.1908,35.4704208213151,0,5,"235",0,5654.24946450626,0.289487899128494,3635.58267686144,0,"2023.LT.18",172,4,9,3,0,9,0,0,1,-0.939641437061175
"765",18,"undammed","LT",2023,178.1908,35.4704208213151,0,6,"236",0,4862.55460246965,0.258049214321462,3635.58267686144,0,"2023.LT.18",172,4,10,3,0,10,0,0,1,-0.939641437061175
"766",18,"undammed","LT",2023,178.1908,35.4704208213151,0,7,"237",0,1904.26772239535,0.219898397873245,3635.58267686144,0,"2023.LT.18",172,4,11,3,0,11,0,0,1,-0.939641437061175
"767",18,"undammed","LT",2023,178.1908,35.4704208213151,0,8,"238",0,494.448809844372,0.184036318911227,3635.58267686144,0,"2023.LT.18",172,4,12,3,0,12,0,0,1,-0.939641437061175
"768",20,"dammed","LT",2023,175.67131,34.4448710794169,1.15151913605691,5,"235",0,4938.85761664895,0.302954343694853,6938.31980334874,4.60607654422764,"2023.LT.20",188,4,9,3,1,9,0,0,1,0.524048327126828
"769",20,"dammed","LT",2023,175.67131,34.4448710794169,1.15151913605691,6,"236",0,4255.66314790015,0.269295056940955,6938.31980334874,4.60607654422764,"2023.LT.20",188,4,10,3,1,10,0,0,1,0.524048327126828
