system:index,Input_FID,dam_count_all,dam_count_anthro,dam_count_confident,.geo
000000000000000031ba,21,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59497295983337,48.155103781873436],[-106.59466532509028,48.15508570328352],[-106.59468136079666,48.155170337697136],[-106.59469552871455,48.15519690498399],[-106.59498220584182,48.15518848720509],[-106.59497295983337,48.155103781873436]]]}"
000000000000000031b9,22,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59481620682783,48.154998781791825],[-106.59481023281236,48.155021165710146],[-106.59476298216579,48.15500393825083],[-106.59473708530133,48.15503114230531],[-106.59470471770744,48.15506280999681],[-106.59466532509028,48.15508570328352],[-106.59497295983337,48.155103781873436],[-106.59497224455652,48.15508145387861],[-106.59499183157277,48.15506780333456],[-106.59503803065957,48.155049276623146],[-106.59505065087639,48.15502676516849],[-106.59481620682783,48.154998781791825]]]}"
000000000000000031b8,23,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59481620682783,48.154998781791825],[-106.59505065087639,48.15502676516849],[-106.59506952250992,48.15499078666961],[-106.59508168878898,48.154950426513395],[-106.59488012462272,48.15490853776737],[-106.59484156471166,48.154958181650876],[-106.59482086775256,48.154936164665095],[-106.59480187866907,48.15496772041761],[-106.59482202063683,48.154971903676596],[-106.59481620682783,48.154998781791825]],[[-106.59482202063683,48.154971903676596],[-106.59483535612078,48.15497172022345],[-106.59482174314108,48.15496298680685],[-106.59482202063683,48.154971903676596]]]}"
000000000000000031c6,24,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59491044745207,48.154809871452926],[-106.59489145850151,48.1548414271442],[-106.59487177038035,48.15485509259748],[-106.59485871243977,48.154864192905514],[-106.59487885437187,48.15486837614532],[-106.59489290506365,48.15489052059158],[-106.59488012462272,48.15490853776737],[-106.59508168878898,48.154950426513395],[-106.59508152855845,48.15494593231062],[-106.59511429075837,48.15492760408842],[-106.5951329859293,48.154882693802755],[-106.59491044745207,48.154809871452926]]]}"
000000000000000031c2,25,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59500147331059,48.15473267176892],[-106.59495565338828,48.15476010018277],[-106.5949295965846,48.154782809966775],[-106.59491044745207,48.154809871452926],[-106.5951329859293,48.154882693802755],[-106.59515921910639,48.15486891576113],[-106.59517188209556,48.154846475912066],[-106.59520430757208,48.15481472167204],[-106.59500147331059,48.15473267176892]]]}"
000000000000000031b5,26,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59509265910164,48.15465996629748],[-106.59508640774509,48.15467343326523],[-106.59504699952299,48.15469188889482],[-106.5950212203493,48.15472351549797],[-106.59500147331059,48.15473267176892],[-106.59520430757208,48.15481472167204],[-106.5952363541825,48.15477406559881],[-106.5952357989813,48.15475623193536],[-106.59524879781107,48.1547426224208],[-106.59509265910164,48.15465996629748]]]}"
000000000000000031b7,27,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59517703812155,48.154582894195315],[-106.59516409765573,48.154596417125646],[-106.5951510827424,48.15460558896638],[-106.5951185984231,48.1546328338911],[-106.59509265910164,48.15465996629748],[-106.59524879781107,48.1547426224208],[-106.59526157806067,48.15472460525764],[-106.59528001147999,48.15467521593588],[-106.59529953918013,48.15465705627285],[-106.59517703812155,48.154582894195315]]]}"
000000000000000031b3,28,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59524802243972,48.15450149649155],[-106.59524139233663,48.15450606162974],[-106.59521555438577,48.1545331790088],[-106.59517703812155,48.154582894195315],[-106.59529953918013,48.15465705627285],[-106.59531287462121,48.15465687275585],[-106.59533855236056,48.15462526111163],[-106.59539780867405,48.1545976340727],[-106.59524802243972,48.15450149649155]]]}"
000000000000000031bf,29,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59532616579773,48.15444232902849],[-106.59528006871103,48.154460840653705],[-106.59524802243972,48.15450149649155],[-106.59539780867405,48.1545976340727],[-106.59540433756855,48.154593083907116],[-106.59544960186152,48.15454782178596],[-106.59549568290186,48.15452487243041],[-106.59532616579773,48.15444232902849]]]}"
000000000000000031b1,30,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-106.59539056243973,48.15436556812057],[-106.59538387331509,48.15436562411275],[-106.59537097587997,48.154379218552386],[-106.59537833765971,48.15440141870813],[-106.59535254275127,48.15442860760714],[-106.59532616579773,48.15444232902849],[-106.59549568290186,48.15452487243041],[-106.59553481323836,48.15449749989671],[-106.59556031426193,48.154456956526175],[-106.59557337198086,48.154447856199],[-106.59539056243973,48.15436556812057]]]}"
