system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
000000000000000046d7,11,0.0,0.0,69.6758702502531,0.0,0.0,44.60073445731518,0.0,44.60073445731518,0,0,0,0,1,0,0,0,92.53884126245975,"{""type"":""Polygon"",""coordinates"":[[[-107.54905903432834,48.06373565023603],[-107.54903166813877,48.06372286676641],[-107.54900412510712,48.06370558606976],[-107.54895674917441,48.0636887708229],[-107.54890037424029,48.06376153036635],[-107.54895444782255,48.06377815088867],[-107.54898955415798,48.06381312287538],[-107.54907337048859,48.06375765988609],[-107.54907319361183,48.063753162660674],[-107.54905903432834,48.06373565023603]]]}"
000000000000000046de,12,0.0,0.0,14.888773798241331,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,99.7417993247509,"{""type"":""Polygon"",""coordinates"":[[[-107.54893625753995,48.063680289779676],[-107.54892233177034,48.06366718766731],[-107.54884112576468,48.063642193958515],[-107.54877856505269,48.06372403969086],[-107.5488056525745,48.0637323419949],[-107.54883263845518,48.06374066027469],[-107.54890037424029,48.06376153036635],[-107.54895674917441,48.0636887708229],[-107.54893625753995,48.063680289779676]]]}"
000000000000000046c9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,107.34392322599888,"{""type"":""Polygon"",""coordinates"":[[[-107.5488345298423,48.06364237274158],[-107.54882078098363,48.063633767838276],[-107.54878608525408,48.06360770342013],[-107.54875841076651,48.063585996396085],[-107.54875176974431,48.06358610424816],[-107.54865630095688,48.063677570416964],[-107.54866981639425,48.06368176503833],[-107.54869718232156,48.06369454860805],[-107.5487375067472,48.063702564304926],[-107.54875130071322,48.063711240156564],[-107.54877856505269,48.06372403969086],[-107.54884112576468,48.063642193958515],[-107.5488345298423,48.06364237274158]]]}"
000000000000000046d6,14,50.15566783792832,0.0,52.0623376528422,0.0,0.0,52.0623376528422,0.2307935864317651,0.0,0,0,0,0,1,0,0,0,140.9199844300747,"{""type"":""Polygon"",""coordinates"":[[[-107.54873778755449,48.06357308903648],[-107.5487018162178,48.063520231162286],[-107.54853367227105,48.063622264414285],[-107.54854054664241,48.06362656688715],[-107.54856134658374,48.06364397152279],[-107.54862949203539,48.063673749314425],[-107.54865630095688,48.063677570416964],[-107.54875176974431,48.06358610424816],[-107.54873778755449,48.06357308903648]]]}"
000000000000000046cb,15,37.28108256447549,0.0,92.88927464181305,0.0,0.0,92.88927464181305,40.71674489787981,13.231317015021453,0,0,0,0,1,0,0,0,168.6175987869501,"{""type"":""Polygon"",""coordinates"":[[[-107.5486942531316,48.06350253998111],[-107.54866726748988,48.063494221694036],[-107.54865351874633,48.063485616788114],[-107.54861892498515,48.06345953639293],[-107.54844362845208,48.06355278567168],[-107.54845108974584,48.06357049287514],[-107.54853367227105,48.063622264414285],[-107.5487018162178,48.063520231162286],[-107.5486942531316,48.06350253998111]]]}"
000000000000000046ba,16,57.96080472562828,0.0,96.45884470074785,0.0,0.0,62.010189361198286,1.308706399973701,57.96080472562828,0,0,0,0,1,0,0,0,150.3211945593357,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.54861223767209,48.0634597112451],[-107.54861889360161,48.063459563516155]]},{""type"":""Polygon"",""coordinates"":[[[-107.54858317589132,48.063411246703396],[-107.54858299907197,48.06340674950535],[-107.5483657231695,48.063460724127594],[-107.54836613329982,48.06346963162874],[-107.54843647565133,48.06354400196866],[-107.54844362845208,48.06355278567168],[-107.54861222745014,48.06345973114112],[-107.54858317589132,48.063411246703396]]]}]}"
000000000000000046b9,17,0.0,0.0,68.50139849092446,0.0,0.0,65.05521950721742,0.0,0.0,0,0,0,0,1,0,0,0,144.89252480864525,"{""type"":""Polygon"",""coordinates"":[[[-107.54852108495707,48.063367956501146],[-107.54851334518385,48.063345768160794],[-107.54832755521444,48.06336327382484],[-107.54832811211071,48.0633722362525],[-107.5483657231695,48.063460724127594],[-107.54858299907197,48.06340674950535],[-107.54852108495707,48.063367956501146]]]}"
000000000000000046b6,18,58.13671982802596,0.0,81.69354176544675,0.0,0.0,81.69354176544675,65.4198796894036,1.6653968189276902,0,0,0,0,1,0,0,0,126.67998579144478,"{""type"":""Polygon"",""coordinates"":[[[-107.54850606069989,48.063332558229824],[-107.54848938073852,48.063265901425844],[-107.54832298365416,48.0632695919858],[-107.54832755521444,48.06336327382484],[-107.54851334518385,48.063345768160794],[-107.54850606069989,48.063332558229824]]]}"
000000000000000046b5,19,0.0,0.0,85.97913498177253,0.0,0.0,85.97913498177253,79.10510514507112,76.40375282460572,0,0,0,0,1,0,0,0,120.19239845871925,"{""type"":""Polygon"",""coordinates"":[[[-107.54847229066768,48.06319033724852],[-107.54847147034778,48.06317252234512],[-107.54831858888159,48.06318040749358],[-107.54832298365416,48.0632695919858],[-107.54848938073852,48.063265901425844],[-107.54847229066768,48.06319033724852]]]}"
000000000000000046b8,20,0.0,0.0,93.24672749696992,0.0,0.0,86.46447638764099,81.36074476055069,81.36074476055069,0,0,0,0,1,0,0,0,112.03046935796738,"{""type"":""Polygon"",""coordinates"":[[[-107.54845438033992,48.06309695829767],[-107.54845369171805,48.06308356967202],[-107.54830778653886,48.06309574123637],[-107.54831680161776,48.06314472275065],[-107.54831084927356,48.0631582192121],[-107.54831858888159,48.06318040749358],[-107.54847147034778,48.06317252234512],[-107.548471191881,48.06316804114907],[-107.54847614704809,48.06313223261022],[-107.54845438033992,48.06309695829767]]]}"
