system:index,FID_Braz_1,FID_Brazil,Id,Input_FID,ORIG_FID,Shape_Area,Shape_Le_1,Shape_Leng,gridcode,.geo
00000000000000001103,0,4346,2,2020,1,795.363597778,237.845314923,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.7612624027401,48.17389859307534],[-106.76122240326232,48.173899199994494],[-106.76112744796764,48.173856028474255],[-106.76106737655549,48.17385691060457],[-106.76102727581147,48.17385753261457],[-106.76102610574844,48.17382184333546],[-106.76103915477958,48.17381271747937],[-106.76105220380599,48.173803591623226],[-106.7610639380031,48.173758720225614],[-106.76107549900856,48.17370498666851],[-106.76104818761354,48.173687477681725],[-106.76104886668193,48.17370538616651],[-106.76104908315757,48.17371431984578],[-106.76100971969896,48.17373276367968],[-106.76099635283583,48.17373297100841],[-106.76094415678686,48.17376947435137],[-106.760915935254,48.17372528125713],[-106.76083678905992,48.17375326547725],[-106.76085069015629,48.17377091037516],[-106.76085253901915,48.17382450815534],[-106.76086537163928,48.17380644862389],[-106.76089686015052,48.17375238350056],[-106.76093110776281,48.17377860018693],[-106.76090568869505,48.1738147603826],[-106.76087537004233,48.17390451489057],[-106.76074811061689,48.17389307611759],[-106.76077254060259,48.17382572162141],[-106.76077190499626,48.17380788457258],[-106.76077090826396,48.173781057528416],[-106.76076416733709,48.17377668674199],[-106.76050664165814,48.173861072260735],[-106.76080409840793,48.17396812063457],[-106.76084409777592,48.173967513891064],[-106.76087172702854,48.17399394158044],[-106.7608920736063,48.1740025134209],[-106.76095898753873,48.17400598700882],[-106.76103007851886,48.17393788609358],[-106.7610567110077,48.173937486594916],[-106.76107007795376,48.17393727925491],[-106.76107134944984,48.17397295343494],[-106.76117858090743,48.173984738555816],[-106.76125287194647,48.17401041980743],[-106.76127123194787,48.17396097007986],[-106.7612172296,48.17394394728202],[-106.76125669468188,48.17392548810798],[-106.76129669420325,48.17392488117319],[-106.76129584181118,48.17389811039083],[-106.7612624027401,48.17389859307534]]]}"
00000000000000001104,0,4347,2,2058,1,941.366051143,257.665533625,50491.4272148,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.76100046072065,48.17248686511675],[-106.76114829183793,48.17271235444525],[-106.76120112206081,48.172693688422356],[-106.76128022263644,48.172665633042115],[-106.7613402130041,48.172660240766895],[-106.76100046072065,48.17248686511675]]],[[[-106.76138776864026,48.17268633605168],[-106.76124877895816,48.17271976862026],[-106.76122204589694,48.17272018331745],[-106.76117605785649,48.1727432048615],[-106.76138750229502,48.17306598641139],[-106.76149319975202,48.17303309243138],[-106.76157184576618,48.17299169478391],[-106.76158471376061,48.172978074078785],[-106.76159794308937,48.17297344322938],[-106.761610811071,48.172959822525804],[-106.76159754579454,48.17296001475417],[-106.76159722777551,48.1729510963834],[-106.76157751745215,48.17296036159735],[-106.76156365210707,48.172947155700335],[-106.76153720084758,48.17295205024288],[-106.7615233355261,48.17293884434154],[-106.761510785531,48.17296138340012],[-106.76148437020883,48.17297071655191],[-106.76144976137094,48.172935510611055],[-106.76143621408016,48.1729312230674],[-106.76145493449968,48.17289076417921],[-106.76148134976121,48.172881431051145],[-106.76148769341901,48.17287237325926],[-106.76146734715967,48.17286380172001],[-106.76150694835925,48.172849766288365],[-106.76153358020323,48.172849366682414],[-106.76157336206086,48.172839826143445],[-106.76159339033693,48.17283947930358],[-106.76161336054565,48.17283921911585],[-106.76162672717602,48.17283901171092],[-106.7616400938083,48.17283880430407],[-106.7616874333884,48.172855965984425],[-106.76171380531204,48.17284656131865],[-106.76169345896126,48.17283798983365],[-106.76164630007555,48.17282532307589],[-106.76165934866933,48.17281619731911],[-106.7616323987824,48.172807678613765],[-106.76138776864026,48.17268633605168]],[[-106.76161250786583,48.17281244889406],[-106.7616264091479,48.17283009336093],[-106.7616323987824,48.172807678613765],[-106.76161250786583,48.17281244889406]],[[-106.76157783546621,48.17296927996987],[-106.7615647868066,48.17297840574373],[-106.76158471376061,48.172978074078785],[-106.76157783546621,48.17296927996987]],[[-106.76145071532031,48.172962265724124],[-106.76143703069143,48.17295355473291],[-106.76143734867122,48.172962473105606],[-106.76145071532031,48.172962265724124]],[[-106.76141732036267,48.17296281991465],[-106.7614244806502,48.172976093787696],[-106.76143734867122,48.172962473105606],[-106.76141732036267,48.17296281991465]],[[-106.7614170023878,48.17295390154172],[-106.7614039537183,48.17296302729138],[-106.76141732036267,48.17296281991465],[-106.7614170023878,48.17295390154172]],[[-106.76137785636513,48.172981278790516],[-106.76138501663814,48.1729945526715],[-106.76139806532143,48.17298542691859],[-106.76137785636513,48.172981278790516]]]]}"
00000000000000001105,0,4348,2,2112,1,107.554130491,42.1229497046,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76478839420221,48.17216078498874],[-106.76477534616166,48.17216991104202],[-106.76472946057994,48.172192918836295],[-106.76471010588793,48.172215541307324],[-106.76469705781902,48.17222466736018],[-106.76469723887901,48.17222916220823],[-106.76483287849763,48.17228962832938],[-106.76483269742134,48.172285133476855],[-106.7648454266746,48.17226708917083],[-106.76487732948796,48.172221927508495],[-106.76489722040041,48.17221715660763],[-106.76478839420221,48.17216078498874]]]}"
00000000000000001106,0,4349,2,2077,1,1152.50235849,176.297589793,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76245077960374,48.17116497382795],[-106.76239691739613,48.17115237581477],[-106.76240280484971,48.17112997692809],[-106.76224611556847,48.17103859129974],[-106.76216498663565,48.171008556864315],[-106.76167611771476,48.17155199854148],[-106.761683277895,48.17156527204328],[-106.76247850276876,48.17119575147482],[-106.76245077960374,48.17116497382795]]]}"
00000000000000001107,0,4350,2,2079,1,613.336676085,161.182760212,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76262485095427,48.17137662717656],[-106.76261126780533,48.171367901435104],[-106.76259744579049,48.17135476756309],[-106.76171149920812,48.171609463110265],[-106.7617327410713,48.17164487549833],[-106.76178161162548,48.17170671420326],[-106.76263871631507,48.171389832527616],[-106.76262485095427,48.17137662717656]]]}"
00000000000000001108,0,4351,2,2081,1,724.749280128,165.521424403,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76269809117214,48.171563144931014],[-106.76269056891067,48.17154088191661],[-106.76181036796703,48.17176875686199],[-106.76182019561043,48.17185795729942],[-106.76274021562055,48.17162497955553],[-106.76275294533012,48.171606935740066],[-106.76275191092691,48.17157567137354],[-106.76269809117214,48.171563144931014]]]}"
00000000000000001109,0,4352,2,2073,1,785.203570291,160.775054115,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76167611771476,48.17155199854148],[-106.76165455790753,48.17150766807459],[-106.76163395230681,48.171490091998805],[-106.76091541736182,48.171175077220916],[-106.76085067554142,48.17123411687994],[-106.76081908811035,48.1712881945214],[-106.76081256406195,48.17129275720458],[-106.76163665530736,48.17157045698989],[-106.76167675383637,48.171569834809176],[-106.761683277895,48.17156527204328],[-106.76167611771476,48.17155199854148]]]}"
0000000000000000110a,0,4353,2,2080,1,869.816694365,169.968636143,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76264587689423,48.171403105907025],[-106.76263871631507,48.171389832527616],[-106.76178161162548,48.17170671420326],[-106.76181036796703,48.17176875686199],[-106.76269056891067,48.17154088191661],[-106.76268350968235,48.171527593330374],[-106.76271014091819,48.171527193424595],[-106.76270846991754,48.17147809288093],[-106.76264587689423,48.171403105907025]]]}"
0000000000000000110b,0,4354,2,2075,1,1222.32165671,169.674607899,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.7617675166761,48.17090744624543],[-106.76162753608568,48.170914052509666],[-106.76160080422044,48.17091446726753],[-106.76156751244987,48.17091500626804],[-106.7613814091072,48.1709402097572],[-106.76136151924453,48.17094497979031],[-106.76163395230681,48.171490091998805],[-106.76165455790753,48.17150766807459],[-106.7618481098676,48.17091962975517],[-106.7617675166761,48.17090744624543]]]}"
0000000000000000110c,0,4355,2,2078,1,904.062836422,171.65955451,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76258354437333,48.17133712373281],[-106.76258272699476,48.17131479278015],[-106.76256180255035,48.171288298901246],[-106.76254173157905,48.17128857443832],[-106.76250109783022,48.171271345644385],[-106.76249928961609,48.171217822033334],[-106.76247850276876,48.17119575147482],[-106.761683277895,48.17156527204328],[-106.76167675383637,48.171569834809176],[-106.76171149920812,48.171609463110265],[-106.76259744579049,48.17135476756309],[-106.76258354437333,48.17133712373281]]]}"
