system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
000000000000000005ff,2982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,100.62832259014249,"{""type"":""Polygon"",""coordinates"":[[[-107.02615742667682,48.0000818147399],[-107.02615237421098,48.00012209800769],[-107.02615952242333,48.000135321633444],[-107.02630754342992,48.000177419438714],[-107.02630611692712,48.00014170073771],[-107.02630995726946,48.00007017756086],[-107.02615742667682,48.0000818147399]]]}"
00000000000000000604,3002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,641.6551006641239,"{""type"":""Polygon"",""coordinates"":[[[-107.0266990200816,47.99845093276278],[-107.02663261152979,47.998452100768844],[-107.02667830254492,47.9984289644172],[-107.02553270806331,47.99840452616139],[-107.02553292251922,47.99840900478201],[-107.02598810872789,47.99847689729293],[-107.02599415823052,47.99846337560655],[-107.02608120145271,47.99847524423385],[-107.02608181353722,47.998493118411375],[-107.02642326347899,47.99854511628841],[-107.02642952743207,47.998536073186614],[-107.02645006168976,47.99854912469697],[-107.02645682444349,47.99855346176044],[-107.02662767343753,47.99849687680232],[-107.02666650062156,47.998469418787685],[-107.02671905554999,47.99845060405053],[-107.0266990200816,47.99845093276278]],[[-107.02661333332576,47.99847035933755],[-107.02659318439126,47.99846619401053],[-107.02660016174534,47.99847500967729],[-107.02661333332576,47.99847035933755]],[[-107.02655447066242,47.998498146013844],[-107.02654105860995,47.9984939659294],[-107.02654803595209,47.99850278160492],[-107.02655447066242,47.998498146013844]],[[-107.02642226589404,47.99851835595994],[-107.02640870896838,47.998514120139134],[-107.02641578737936,47.998522920432066],[-107.02642226589404,47.99851835595994]]]}"
00000000000000000606,3010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,820.0150182619691,"{""type"":""Polygon"",""coordinates"":[[[-107.02661074545843,47.997724527716535],[-107.02660393902259,47.99772011961889],[-107.02552591558603,47.99772132875551],[-107.02554189486894,47.99778804169203],[-107.02554217889542,47.997796943111496],[-107.02672757905474,47.997820683724484],[-107.02661074545843,47.997724527716535]]]}"
00000000000000000609,3011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,606.3809050619602,"{""type"":""Polygon"",""coordinates"":[[[-107.02647305074044,47.99760634795141],[-107.02573696907011,47.99767293517678],[-107.02552558777148,47.99771235623729],[-107.02552591558603,47.99772132875551],[-107.02660393902259,47.99772011961889],[-107.02647305074044,47.99760634795141]]]}"
0000000000000000060d,3012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,397.5738421808928,"{""type"":""Polygon"",""coordinates"":[[[-107.02645920987086,47.99759321082603],[-107.02634190506484,47.99748802668043],[-107.02573696907011,47.99767293517678],[-107.02647305074044,47.99760634795141],[-107.02645920987086,47.99759321082603]]]}"
0000000000000000060f,3014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,469.5837056003511,"{""type"":""Polygon"",""coordinates"":[[[-107.02614916552288,47.997321761705535],[-107.0254772603356,47.99766853616162],[-107.02550477046745,47.99769040331044],[-107.02624546258677,47.99740486632441],[-107.02614916552288,47.997321761705535]]]}"
00000000000000000610,3007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,842.4810457294807,"{""type"":""Polygon"",""coordinates"":[[[-107.02657919299429,47.997939416530066],[-107.0255061101664,47.99806556483193],[-107.02553604341944,47.998149909607264],[-107.02555038248646,47.99817642709679],[-107.0256765356525,47.99816974012356],[-107.02599473895623,47.99813730872643],[-107.0266390524986,47.997938390170084],[-107.02657919299429,47.997939416530066]]]}"
00000000000000000612,3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,901.0527683701366,"{""type"":""Polygon"",""coordinates"":[[[-107.02672757905474,47.997820683724484],[-107.02554217889542,47.997796943111496],[-107.02552378437291,47.99783746725686],[-107.02657919299429,47.997939416530066],[-107.0266390524986,47.997938390170084],[-107.0268378652846,47.99791698133578],[-107.02672757905474,47.997820683724484]]]}"
00000000000000000615,2995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,143.83577419165522,"{""type"":""Polygon"",""coordinates"":[[[-107.02589593872383,47.999014477898434],[-107.02586358933755,47.99903737142626],[-107.0258459074037,47.99909575559907],[-107.02600715263037,47.99913311634386],[-107.02600643949455,47.99911525734193],[-107.0260588942027,47.99909645810741],[-107.0260703117337,47.99904711707161],[-107.02589593872383,47.999014477898434]]]}"
00000000000000000616,2997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,124.5733645465225,"{""type"":""Polygon"",""coordinates"":[[[-107.0259623701842,47.998839154193774],[-107.0259558915868,47.99884371866499],[-107.02593766750353,47.99888865125475],[-107.02592575128247,47.99892461185351],[-107.02609337351464,47.9989574232602],[-107.0261000228552,47.99895726632119],[-107.02609166300692,47.99891280377969],[-107.02611084049711,47.99889456054756],[-107.02611649248288,47.99886764309124],[-107.0259623701842,47.998839154193774]]]}"
