system:index,Input_FID,Poly_unique_id,dam_count_all,dam_count_anthro,dam_count_confident,.geo
00000000000000002c51,49,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27464000611711,48.421222348358896],[-107.27458629028126,48.42122342271502],[-107.27450074768937,48.42126087336137],[-107.27453753274214,48.421331615531145],[-107.27460984431876,48.421298875134696],[-107.27465027144268,48.42130259846434],[-107.27464000611711,48.421222348358896]]]}"
00000000000000002c59,50,lrb_1443,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27478161267878,48.421237441846024],[-107.27475391861101,48.42122014056834],[-107.27468687620832,48.42122146777136],[-107.2746533326161,48.4212220955838],[-107.27464000611711,48.421222348358896],[-107.27465027144268,48.42130259846434],[-107.27472405729216,48.42130109329839],[-107.27477196144739,48.42132249293911],[-107.27478825353279,48.42123727967744],[-107.27478161267878,48.421237441846024]]]}"
00000000000000002c5b,51,lrb_1442,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27488175836532,48.421226531670925],[-107.27480836819413,48.42123692043435],[-107.27478825353279,48.42123727967744],[-107.27477196144739,48.42132249293911],[-107.27481986568218,48.42134389256253],[-107.2748860722441,48.421324726722936],[-107.27489950127972,48.42132445809239],[-107.27491293031714,48.42132418945993],[-107.27491579309647,48.421239244812774],[-107.27488175836532,48.421226531670925]]]}"
00000000000000002c76,52,lrb_1442,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27501613674961,48.42123277623301],[-107.27500295039724,48.42123755815988],[-107.2749566160129,48.421251851487156],[-107.27491579309647,48.421239244812774],[-107.27491293031714,48.42132418945993],[-107.2749400816159,48.42133255150212],[-107.27497421894778,48.42134524882597],[-107.27505449298776,48.4213392110082],[-107.27507460776148,48.421338851705876],[-107.27508803682902,48.42133858304812],[-107.27501613674961,48.42123277623301]]]}"
00000000000000002c74,53,lrb_1442,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.275121896414,48.42119495002155],[-107.27506901659372,48.42121386313818],[-107.27501613674961,48.42123277623301],[-107.27508803682902,48.42133858304812],[-107.27514775559605,48.42132394942282],[-107.27517220731194,48.42126988072249],[-107.27520531056614,48.42126029770016],[-107.275121896414,48.42119495002155]]]}"
00000000000000002c54,54,lrb_1442,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27520600886473,48.42112633522179],[-107.27519956587638,48.421130939148064],[-107.27518726645921,48.42115794556201],[-107.27514181325644,48.42119014897317],[-107.275121896414,48.42119495002155],[-107.27520531056614,48.42126029770016],[-107.27527131917618,48.42123668988912],[-107.27531096787651,48.42122248707777],[-107.27532419904604,48.421217776651915],[-107.27520600886473,48.42112633522179]]]}"
00000000000000002c1d,55,lrb_1442,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27527758607873,48.421075740199704],[-107.27525869068413,48.421102980337125],[-107.27520600886473,48.42112633522179],[-107.27532419904604,48.421217776651915],[-107.27535061656337,48.4212082842542],[-107.27537663828276,48.42118990838406],[-107.27541642719073,48.42118023463615],[-107.27546158693234,48.42113913182674],[-107.27546114630144,48.42113017682884],[-107.27527758607873,48.421075740199704]]]}"
00000000000000002c1e,56,lrb_1442,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27548206076594,48.42099583949716],[-107.27531496818071,48.421012535421916],[-107.27527699242466,48.42106241502897],[-107.27527758607873,48.421075740199704],[-107.27546114630144,48.42113017682884],[-107.2754794926957,48.421089683007295],[-107.2754924810911,48.42108045930587],[-107.27551693220101,48.42102639077956],[-107.27548206076594,48.42099583949716]]]}"
00000000000000002c4f,57,lrb_1438,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27546130755084,48.42098280219038],[-107.27543976273343,48.42095199802691],[-107.2754044508358,48.42091249179309],[-107.27540425293449,48.420908050083405],[-107.27524434473214,48.42093352278059],[-107.27526549356317,48.42095544355366],[-107.27528693573147,48.420986263582186],[-107.27531496818071,48.421012535421916],[-107.27548206076594,48.42099583949716],[-107.27546130755084,48.42098280219038]]]}"
00000000000000002c56,58,lrb_1438,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27537592713342,48.42087287908797],[-107.27537391616511,48.42082823159568],[-107.27537307975544,48.420810393245205],[-107.27518104569143,48.42086781620543],[-107.27522914769989,48.42089365715469],[-107.27524434473214,48.42093352278059],[-107.27540425293449,48.420908050083405],[-107.27537592713342,48.42087287908797]]]}"
00000000000000002c57,59,lrb_1438,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.2753247797792,48.420780110710666],[-107.27524957732912,48.420750293975935],[-107.27524904132545,48.42073688152559],[-107.27513113097014,48.420801769465115],[-107.27513821232569,48.42081056222131],[-107.27517416218636,48.42086346515035],[-107.27518104569143,48.42086781620543],[-107.27537307975544,48.420810393245205],[-107.2753247797792,48.420780110710666]]]}"
