system:index,Input_FID,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
000000000000000025c3,11,246.3903079434937,215.57457270061266,250.20906271093028,374.6284997107936,0,0,0,0,388.220837444067,"{""type"":""Polygon"",""coordinates"":[[[-107.09273221593176,48.415659035457644],[-107.0927597648263,48.41567639086606],[-107.09274026371318,48.41569010919448],[-107.09322147843181,48.41581085254589],[-107.09323331163287,48.41577047130125],[-107.09326631608884,48.41575649466325],[-107.0933186014927,48.41572428573997],[-107.09332344060331,48.41567948401583],[-107.09273221593176,48.415659035457644]]]}"
00000000000000002432,12,297.04009454974937,193.33447373450971,246.31257066048832,347.49407128329364,0,0,0,0,484.3527349829674,"{""type"":""Polygon"",""coordinates"":[[[-107.09268816054386,48.41556603158489],[-107.09267493529224,48.41557071625315],[-107.09268235373904,48.4155884790062],[-107.09267682489381,48.41561535300483],[-107.09271157216597,48.41564595736657],[-107.09273221593176,48.415659035457644],[-107.09332344060331,48.41567948401583],[-107.09332653598486,48.415590101604266],[-107.09332636025562,48.41558565942184],[-107.09268816054386,48.41556603158489]]]}"
00000000000000002430,13,226.93524825222352,188.91953494385174,188.91953494385174,329.3959720620923,0,0,0,0,419.858586281538,"{""type"":""Polygon"",""coordinates"":[[[-107.09281221664298,48.415483351260626],[-107.09280640992344,48.41550579865255],[-107.09277978379511,48.41551072582978],[-107.09276717428214,48.415528880304926],[-107.09272112044589,48.41555198356162],[-107.09268816054386,48.41556603158489],[-107.09332636025562,48.41558565942184],[-107.09332561296927,48.415567819065814],[-107.09335127182815,48.4155405375726],[-107.09334970381352,48.41550039910211],[-107.0933494837115,48.41549588529733],[-107.09281221664298,48.415483351260626]]]}"
00000000000000002433,14,182.43888368770195,185.63248000448831,190.36557132823802,326.62229113672316,0,0,0,0,449.4779700040817,"{""type"":""Polygon"",""coordinates"":[[[-107.09268758045732,48.41538736049406],[-107.09267447297331,48.41539657456418],[-107.09270184598583,48.41540948773885],[-107.09270932237315,48.41542716318665],[-107.09272974599827,48.41543572742454],[-107.09272386590523,48.415453716998265],[-107.09275694341372,48.415444198417894],[-107.09277615100827,48.41542150855964],[-107.09279012323466,48.41543466420823],[-107.09280369977164,48.415438863881676],[-107.09281204097566,48.41547890908456],[-107.09281221664298,48.415483351260626],[-107.0933494837115,48.41549588529733],[-107.09335925046616,48.415406425530946],[-107.09269425190146,48.41538728287736],[-107.09268758045732,48.41538736049406]],[[-107.09280369977164,48.415438863881676],[-107.09284372672712,48.41543369420103],[-107.09281617793623,48.415416338892825],[-107.09280369977164,48.415438863881676]],[[-107.09282888970544,48.41539816883123],[-107.09281531317623,48.41539396916433],[-107.09281570888078,48.4154029251327],[-107.09282888970544,48.41539816883123]],[[-107.09269425190146,48.41538728287736],[-107.09269460320874,48.41539616721575],[-107.09270782839614,48.415391482561695],[-107.09269425190146,48.41538728287736]]]}"
000000000000000025f1,15,200.22025841871903,200.22025841871903,217.01403815582688,328.53494443799934,0,0,0,0,421.1270581781864,"{""type"":""Polygon"",""coordinates"":[[[-107.09334264021831,48.41533079317073],[-107.09327396542231,48.41529188332755],[-107.09325991959066,48.41527427001235],[-107.0932593480513,48.415260871914484],[-107.09268740480447,48.4153829183254],[-107.09268758045732,48.41538736049406],[-107.09269425190146,48.41538728287736],[-107.09335925046616,48.415406425530946],[-107.09336513028244,48.41538843594133],[-107.09334264021831,48.41533079317073]]]}"
000000000000000025f4,16,301.41581064439293,301.41581064439293,305.7920477633383,338.3793920327637,0,0,0,0,416.077059417963,"{""type"":""Polygon"",""coordinates"":[[[-107.09323008446819,48.415203322524796],[-107.09321529144964,48.415167869006474],[-107.0932148956433,48.4151589130817],[-107.09283031639536,48.41526866417932],[-107.09285223411638,48.4153129089096],[-107.09279058300794,48.415282805401915],[-107.09265796657158,48.415320926441495],[-107.09267193870315,48.41533408208487],[-107.0926661319404,48.41535652940674],[-107.0926866578255,48.415365078024294],[-107.09268740480447,48.4153829183254],[-107.0932593480513,48.415260871914484],[-107.09325912795899,48.415256358129504],[-107.09323008446819,48.415203322524796]]]}"
0000000000000000261c,17,297.13910118060954,297.13910118060954,297.13910118060954,327.6633723322085,0,0,0,0,401.6085295677185,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.09320114337923,48.41515027134171],[-107.09320039614151,48.415132431128804],[-107.09318567657667,48.41510143541402],[-107.09318528077668,48.4150924795001],[-107.09317113275044,48.41507488185463],[-107.09277332934765,48.415189317225476],[-107.09280807637342,48.41521992131469],[-107.09283031639536,48.41526866417932],[-107.0932148956433,48.4151589130817],[-107.09320114337923,48.41515027134171]]],[[[-107.09262927538994,48.415276774884774],[-107.09263714737818,48.41530340624938],[-107.09265796657158,48.415320926441495],[-107.09279058300794,48.415282805401915],[-107.09277015943556,48.4152742412001],[-107.09278926460905,48.415251567033685],[-107.09274146811447,48.41523008971891],[-107.09273352270901,48.4151990006285],[-107.09264726697621,48.41522283114827],[-107.09264795599056,48.41524075865207],[-107.09265486100479,48.415245035946555],[-107.09262927538994,48.415276774884774]],[[-107.09267485986838,48.41524025807866],[-107.09266106341809,48.41523154461385],[-107.09265486100479,48.415245035946555],[-107.09267485986838,48.41524025807866]]]]}"
000000000000000025ff,18,288.55112739380667,288.55112739380667,288.55112739380667,388.06129249170715,0,0,0,0,422.26151809096336,"{""type"":""Polygon"",""coordinates"":[[[-107.09311424732641,48.414995519787794],[-107.09310751797413,48.41499568468135],[-107.09269627042826,48.41511029044671],[-107.09271081384769,48.41513684410574],[-107.09267653602254,48.41511965371165],[-107.09266986462796,48.415119731325476],[-107.09258365347277,48.41514363337739],[-107.09259181874171,48.41517923623338],[-107.0925787692765,48.41518836300346],[-107.09263294360008,48.41520079121952],[-107.09264726697621,48.41522283114827],[-107.09273352270901,48.4151990006285],[-107.09272518162925,48.41515895562539],[-107.09273801104045,48.415145315062716],[-107.09274463807716,48.41514516581411],[-107.09275233447795,48.41516735495141],[-107.09277332934765,48.415189317225476],[-107.09317113275044,48.41507488185463],[-107.09317078132204,48.41506599757446],[-107.09311424732641,48.414995519787794]]]}"
00000000000000002600,19,222.6758663481357,222.6758663481357,222.6758663481357,381.03121636965716,0,0,0,0,384.00893995165825,"{""type"":""Polygon"",""coordinates"":[[[-107.09308669863012,48.414978164696876],[-107.09307294647857,48.414969522964945],[-107.0930523762573,48.41496090286282],[-107.0930714077501,48.41493377103151],[-107.0930304584131,48.41491665847261],[-107.09302325993713,48.41490340972805],[-107.09264007529511,48.4150488554539],[-107.09265400295764,48.41506193940577],[-107.09262039887119,48.41505813144655],[-107.09261362517556,48.41505822467545],[-107.09255421559706,48.41508164173026],[-107.09257687976417,48.415143726604185],[-107.09258365347277,48.41514363337739],[-107.09266986462796,48.415119731325476],[-107.09264288750636,48.415115774127976],[-107.09263576250126,48.41510698306662],[-107.09269627042826,48.41511029044671],[-107.09310751797413,48.41499568468135],[-107.09308669863012,48.414978164696876]]]}"
000000000000000025fc,20,260.64305131318525,260.64305131318525,168.57206961454128,310.50894240281133,0,0,0,0,407.24490797519684,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.09257962546042,48.415045460789536],[-107.09254063925323,48.415077442044804],[-107.09255421559706,48.41508164173026],[-107.09261362517556,48.41505822467545],[-107.09257962546042,48.415045460789536]]],[[[-107.09301595915034,48.41489017660591],[-107.09300186924713,48.41487249174866],[-107.0929713321824,48.41478377622187],[-107.0929570666524,48.4147616492761],[-107.09292278894779,48.4147444590873],[-107.0926054598984,48.415022621902125],[-107.09264007529511,48.4150488554539],[-107.09302325993713,48.41490340972805],[-107.09301595915034,48.41489017660591]]]]}"
